filename,positive,negative,index,date
IEF20021202.txt,9,17,0.3076923076923077,2002-12-02
IEF20030530.txt,6,18,0.5,2003-05-30
IEF20031117.txt,17,5,-0.5454545454545454,2003-11-17
IEF20040517.txt,14,8,-0.2727272727272727,2004-05-17
IEF20041123.txt,15,4,-0.5789473684210527,2004-11-23
IEF20050523.txt,21,7,-0.5,2005-05-23
IEF20051202.txt,30,8,-0.5789473684210527,2005-12-02
IEF20060523.txt,22,9,-0.41935483870967744,2006-05-23
IEF20061124.txt,29,15,-0.3181818181818182,2006-11-24
IEF20070522.txt,14,11,-0.12,2007-05-22
IEF20071105.txt,13,27,0.35,2007-11-05
IEF20080402.txt,6,32,0.6842105263157895,2008-04-02
IEF20081105.txt,8,36,0.6363636363636364,2008-11-05
IEF20090506.txt,5,30,0.7142857142857143,2009-05-06
IEF20091104.txt,22,33,0.2,2009-11-04
IEF20100326.txt,10,31,0.5121951219512195,2010-03-26
IEF20101027.txt,10,26,0.4444444444444444,2010-10-27
IEF20110503.txt,6,28,0.6470588235294118,2011-05-03
IEF20111102.txt,3,39,0.8571428571428571,2011-11-02
IEF20120427.txt,14,30,0.36363636363636365,2012-04-27
IEF20121105.txt,5,31,0.7222222222222222,2012-11-05
IEF20130507.txt,13,23,0.2777777777777778,2013-05-07
IEF20131106.txt,19,17,-0.05555555555555555,2013-11-06
IEF20140508.txt,17,10,-0.25925925925925924,2014-05-08
IEF20141103.txt,5,12,0.4117647058823529,2014-11-03
IEF20150506.txt,17,5,-0.5454545454545454,2015-05-06
IEF20151104.txt,18,39,0.3684210526315789,2015-11-04
IEF20160504.txt,6,40,0.7391304347826086,2016-05-04
IEF20161103.txt,6,27,0.6363636363636364,2016-11-03
IEF20170503.txt,7,22,0.5172413793103449,2017-05-03
IEF20171102.txt,14,25,0.28205128205128205,2017-11-02
IEF20180503.txt,15,19,0.11764705882352941,2018-05-03
IEF20181107.txt,8,42,0.68,2018-11-07
IEF20190507.txt,9,45,0.6666666666666666,2019-05-07
IEF20191031.txt,7,38,0.6888888888888889,2019-10-31
IEF20200504.txt,23,67,0.4888888888888889,2020-05-04
IEF20201029.txt,23,67,0.4888888888888889,2020-10-29
IEF20210428.txt,23,92,0.6,2021-04-28
IEF20211104.txt,42,89,0.35877862595419846,2021-11-04
IEF20220427.txt,19,106,0.696,2022-04-27
