,filename,date,word,score
0,20141104.txt,2014-11-04,nouy,1.8612385894383816
1,20141104.txt,2014-11-04,intrusivo,1.7160874720334145
2,20141104.txt,2014-11-04,obce,1.7160874720334145
3,20141104.txt,2014-11-04,constancio,1.7160874720334145
4,20141104.txt,2014-11-04,enfrentamiento,1.5115084622639041
5,20141104.txt,2014-11-04,perteneciente,1.5115084622639041
6,20141104.txt,2014-11-04,imparcial,1.5115084622639041
7,20141104.txt,2014-11-04,premiar,1.5115084622639041
8,20141104.txt,2014-11-04,bernácer,1.5115084622639041
9,20141104.txt,2014-11-04,estrenar,1.5115084622639041
10,20141104.txt,2014-11-04,armonizar,1.5115084622639041
11,20141104.txt,2014-11-04,pieza,1.5115084622639041
12,20141104.txt,2014-11-04,encargar,1.5115084622639041
13,20141104.txt,2014-11-04,inconveniente,1.5115084622639041
14,20141104.txt,2014-11-04,mu,1.4503555938956043
15,20141104.txt,2014-11-04,finlandia,1.3936315046778964
16,20141104.txt,2014-11-04,organización,1.3936315046778964
17,20141104.txt,2014-11-04,separar,1.306929452494394
18,20141104.txt,2014-11-04,francés,1.2274932641412595
19,20141104.txt,2014-11-04,tímido,1.2274932641412595
20,20141104.txt,2014-11-04,estigma,1.2274932641412595
21,20141104.txt,2014-11-04,restoy,1.2274932641412595
22,20141104.txt,2014-11-04,comunitario,1.2274932641412595
23,20141104.txt,2014-11-04,eurozona,1.1617783350894269
24,20141104.txt,2014-11-04,atenazar,1.1617783350894266
25,20060524.txt,2006-05-24,retribución,1.6607795719791036
26,20060524.txt,2006-05-24,obrar,1.3537286532636286
27,20060524.txt,2006-05-24,apropiadamente,1.276511362162349
28,20060524.txt,2006-05-24,benéficosocial,1.276511362162349
29,20060524.txt,2006-05-24,fidelizar,1.276511362162349
30,20060524.txt,2006-05-24,fidelización,1.276511362162349
31,20060524.txt,2006-05-24,abbey,1.0366525479501352
32,20060524.txt,2006-05-24,configuración,1.0366525479501352
33,20060524.txt,2006-05-24,localizar,1.0366525479501352
34,20060524.txt,2006-05-24,jerga,1.0366525479501352
35,20060524.txt,2006-05-24,accionista,1.024721082923711
36,20060524.txt,2006-05-24,concepto,0.8963441361685472
37,20060524.txt,2006-05-24,retribuir,0.8963441361685472
38,20060524.txt,2006-05-24,so,0.8963441361685472
39,20060524.txt,2006-05-24,asociación,0.8963441361685472
40,20060524.txt,2006-05-24,banesto,0.8963441361685472
41,20060524.txt,2006-05-24,dividendo,0.885126055966199
42,20060524.txt,2006-05-24,social,0.8269463762382475
43,20060524.txt,2006-05-24,tercio,0.7967937337379213
44,20060524.txt,2006-05-24,latino,0.7967937337379213
45,20060524.txt,2006-05-24,apreciación,0.7967937337379213
46,20060524.txt,2006-05-24,ep,0.7967937337379213
47,20060524.txt,2006-05-24,patentar,0.7967937337379213
48,20060524.txt,2006-05-24,aeb,0.7967937337379213
49,20060524.txt,2006-05-24,confederación,0.7967937337379213
50,20070523.txt,2007-05-23,adelantarse,1.5865100074743177
51,20070523.txt,2007-05-23,moderarse,1.397378246064784
52,20070523.txt,2007-05-23,don,1.397378246064784
53,20070523.txt,2007-05-23,frenarse,1.397378246064784
54,20070523.txt,2007-05-23,disociación,1.1348083238203988
55,20070523.txt,2007-05-23,pisar,1.1348083238203988
56,20070523.txt,2007-05-23,rever,1.074055364381996
