filename,max,min,date
20141104.txt,0.4634146341463415,-0.375,2014-11-04
20060524.txt,0.2,-1.0,2006-05-24
20070523.txt,0.5714285714285714,-0.45,2007-05-23
20181108.txt,0.6136363636363636,-0.10948905109489052,2018-11-08
20201029.txt,0.7665615141955836,0.09826589595375723,2020-10-29
20080403.txt,0.5963302752293578,-0.047619047619047616,2008-04-03
20220427.txt,0.7524271844660194,0.21982758620689655,2022-04-27
20151105.txt,0.6790123456790124,0.1566265060240964,2015-11-05
20071106.txt,0.4845360824742268,-0.1504424778761062,2007-11-06
20211104.txt,0.7844311377245509,0.11627906976744186,2021-11-04
20180504.txt,0.7808219178082192,0.053763440860215055,2018-05-04
20031118.txt,0.4,-0.5662650602409639,2003-11-18
20110504.txt,0.6470588235294118,0.015873015873015872,2011-05-04
20050524.txt,0.625,-0.4177215189873418,2005-05-24
20140509.txt,0.47368421052631576,-0.5384615384615384,2014-05-09
20161104.txt,0.8076923076923077,0.30612244897959184,2016-11-04
20120428.txt,0.84,-0.10344827586206896,2012-04-28
20090507.txt,0.8205128205128205,0.13043478260869565,2009-05-07
20040518.txt,0.46987951807228917,-0.35135135135135137,2004-05-18
20051204.txt,0.26666666666666666,-0.5813953488372093,2005-12-04
20171103.txt,0.8333333333333334,0.3254437869822485,2017-11-03
20150507.txt,0.84,0.06451612903225806,2015-05-07
20131107.txt,0.7857142857142857,0.05,2013-11-07
20190508.txt,0.6699029126213593,0.04895104895104895,2019-05-08
20210429.txt,0.7416974169741697,0.12142857142857143,2021-04-29
20100327.txt,1.0,0.13793103448275862,2010-03-27
20101028.txt,0.64,-0.005988023952095809,2010-10-28
20061125.txt,0.5365853658536586,-0.4108527131782946,2006-11-25
20121106.txt,1.0,-0.1111111111111111,2012-11-06
20021202.txt,0.6,-0.14606741573033707,2002-12-02
20160505.txt,0.7777777777777778,0.14285714285714285,2016-05-05
20130508.txt,0.9148936170212766,0.14285714285714285,2013-05-08
20041124.txt,0.07407407407407407,-0.6119402985074627,2004-11-24
20091105.txt,0.7142857142857143,-0.06766917293233082,2009-11-05
20200505.txt,0.7038834951456311,0.1262135922330097,2020-05-05
20111103.txt,0.9012345679012346,0.3333333333333333,2011-11-03
20191101.txt,0.851063829787234,0.37398373983739835,2019-11-01
20081106.txt,0.717391304347826,0.1559633027522936,2008-11-06
20170504.txt,0.7647058823529411,0.08695652173913043,2017-05-04
20030531.txt,0.5675675675675675,-0.23529411764705882,2003-05-31
